"sj" "cb" "blockNumber" "blockType" "trialNum" "target" "targetImage" "distractor" "distractorImage" "posture" "setSize" "rt" "resp" "cresp" "ac"
1 1 3 "experimental" 32 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 611 "s" "s" 1
1 1 3 "experimental" 33 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 590 "h" "h" 1
1 1 3 "experimental" 34 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 602 "s" "s" 1
1 1 3 "experimental" 35 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 636 "h" "h" 1
1 1 3 "experimental" 36 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 831 "s" "s" 1
1 1 3 "experimental" 37 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 541 "h" "h" 1
1 1 3 "experimental" 38 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 544 "s" "s" 1
1 1 3 "experimental" 39 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 1139 "h" "h" 1
1 1 3 "experimental" 40 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 929 "s" "s" 1
1 1 3 "experimental" 41 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 598 "h" "h" 1
1 1 3 "experimental" 42 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 480 "s" "s" 1
1 1 3 "experimental" 43 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 563 "h" "h" 1
1 1 3 "experimental" 44 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 479 "s" "s" 1
1 1 3 "experimental" 45 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 491 "h" "h" 1
1 1 3 "experimental" 46 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 587 "s" "s" 1
1 1 3 "experimental" 47 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 529 "s" "s" 1
1 1 3 "experimental" 48 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 574 "h" "h" 1
1 1 3 "experimental" 49 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 521 "s" "s" 1
1 1 3 "experimental" 50 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 558 "h" "h" 1
1 1 3 "experimental" 51 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 855 "h" "h" 1
1 1 3 "experimental" 52 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 692 "h" "h" 1
1 1 3 "experimental" 53 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 489 "s" "s" 1
1 1 3 "experimental" 54 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 599 "s" "s" 1
1 1 3 "experimental" 55 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 582 "s" "s" 1
1 1 3 "experimental" 56 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 646 "h" "h" 1
1 1 3 "experimental" 57 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 498 "s" "s" 1
1 1 3 "experimental" 58 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 626 "s" "s" 1
1 1 3 "experimental" 59 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 533 "s" "s" 1
1 1 3 "experimental" 60 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 555 "s" "s" 1
1 1 3 "experimental" 61 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 680 "h" "h" 1
1 1 3 "experimental" 62 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 645 "h" "h" 1
1 1 3 "experimental" 63 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 571 "h" "h" 1
1 1 3 "experimental" 64 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 526 "h" "h" 1
1 1 3 "experimental" 65 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 627 "h" "h" 1
1 1 3 "experimental" 66 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 488 "s" "s" 1
1 1 3 "experimental" 67 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 662 "s" "s" 1
1 1 3 "experimental" 68 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 670 "h" "h" 1
1 1 3 "experimental" 69 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 656 "h" "h" 1
1 1 3 "experimental" 70 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 527 "s" "s" 1
1 1 3 "experimental" 71 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 485 "h" "h" 1
1 1 3 "experimental" 72 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 546 "s" "s" 1
1 1 3 "experimental" 73 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 635 "h" "h" 1
1 1 3 "experimental" 74 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 551 "s" "s" 1
1 1 3 "experimental" 75 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 522 "h" "h" 1
